Rank,Author Id,Number of Unique City Locations and #Tweets
#1,1429984556451389440,"8 (#1921 tweets - 1880gmel, 13acte, 11gsyd, 7gper, 6gbri, 2gade, 1gdar, 1ghob)"
#2,17285408,"8 (#1208 tweets - 1060gsyd, 60gmel, 40gbri, 23acte, 11ghob, 7gper, 4gdar, 3gade)"
#3,702290904460169216,"8 (#1177 tweets - 327gsyd, 252gmel, 220gbri, 151gper, 119gade, 46acte, 42ghob, 20gdar)"
#4,87188071,"8 (#401 tweets - 116gsyd, 86gmel, 65gbri, 51gper, 34acte, 29gade, 15ghob, 5gdar)"
#5,774694926135222272,"8 (#272 tweets - 38gmel, 37gsyd, 37gbri, 36ghob, 34acte, 34gper, 28gdar, 28gade)"
#6,1361519083,"8 (#266 tweets - 193gdar, 36gmel, 18gsyd, 9gade, 6acte, 2ghob, 1gper, 1gbri)"
#7,502381727,"8 (#250 tweets - 214gmel, 10acte, 8ghob, 8gbri, 4gade, 3gper, 2gsyd, 1gdar)"
#8,921197448885886977,"8 (#208 tweets - 58gmel, 49gsyd, 37gbri, 28gper, 24gade, 7acte, 4ghob, 1gdar)"
#9,601712763,"8 (#146 tweets - 44gsyd, 39gmel, 19gade, 14gper, 11gbri, 10acte, 8ghob, 1gdar)"
#10,2647302752,"8 (#80 tweets - 32gbri, 16gmel, 13gsyd, 5ghob, 4acte, 4gper, 3gdar, 3gade)"
